cust_id,LS,MS,SS,XLS
CUST0000009422,157.0,0.0,0.0,0.0
CUST0000009537,192.0,189.0,3.0,2.0
CUST0000009737,526.0,20.0,0.0,0.0
CUST0000009875,0.0,1.0,0.0,0.0
CUST0000010288,69.0,6.0,0.0,0.0
CUST0000010509,44.0,0.0,0.0,0.0
CUST0000010532,10.0,11.0,0.0,6.0
CUST0000010712,33.0,0.0,0.0,0.0
CUST0000010805,70.0,0.0,0.0,0.0
CUST0000010921,228.0,8.0,3.0,0.0
CUST0000010950,103.0,0.0,0.0,0.0
CUST0000011068,196.0,11.0,3.0,3.0
CUST0000011182,0.0,12.0,0.0,0.0
CUST0000011232,0.0,0.0,13.0,3.0
CUST0000011546,2.0,0.0,19.0,0.0
CUST0000011647,0.0,92.0,0.0,1.0
CUST0000011873,3.0,161.0,0.0,0.0
CUST0000012055,0.0,5.0,0.0,5.0
CUST0000012241,47.0,8.0,0.0,0.0
CUST0000012357,70.0,7.0,2.0,0.0
CUST0000012470,4.0,12.0,0.0,0.0
CUST0000012535,13.0,0.0,0.0,0.0
CUST0000013075,10.0,96.0,4.0,0.0
CUST0000013461,15.0,0.0,0.0,7.0
CUST0000013530,0.0,6.0,1.0,1.0
CUST0000013675,0.0,1.0,0.0,0.0
CUST0000013725,17.0,0.0,0.0,0.0
CUST0000014241,6.0,0.0,0.0,0.0
CUST0000014549,513.0,2.0,1.0,0.0
CUST0000014840,222.0,8.0,0.0,0.0
CUST0000014855,2.0,0.0,0.0,0.0
CUST0000014942,105.0,0.0,0.0,0.0
CUST0000014944,7.0,0.0,0.0,0.0
CUST0000015147,0.0,0.0,1.0,0.0
CUST0000015843,26.0,5.0,0.0,10.0
CUST0000015949,182.0,0.0,0.0,0.0
CUST0000015976,6.0,0.0,0.0,1.0
CUST0000016087,173.0,1.0,0.0,0.0
CUST0000016305,87.0,3.0,4.0,0.0
CUST0000016376,208.0,0.0,1.0,0.0
CUST0000016975,290.0,1.0,1.0,0.0
CUST0000017060,4.0,0.0,2.0,0.0
CUST0000017071,3.0,0.0,0.0,0.0
CUST0000017220,4.0,4.0,3.0,0.0
CUST0000017545,74.0,0.0,0.0,0.0
CUST0000017681,2.0,0.0,0.0,0.0
CUST0000017968,7.0,2.0,0.0,1.0
CUST0000018190,76.0,13.0,0.0,0.0
CUST0000018390,0.0,61.0,0.0,0.0
CUST0000018482,1.0,0.0,0.0,0.0
CUST0000018545,0.0,10.0,0.0,1.0
CUST0000018583,2.0,0.0,18.0,0.0
CUST0000018830,7.0,1.0,0.0,0.0
CUST0000018911,2.0,100.0,0.0,0.0
CUST0000018943,5.0,47.0,1.0,1.0
CUST0000019017,1.0,0.0,0.0,0.0
CUST0000019337,3.0,0.0,0.0,0.0
CUST0000019499,0.0,0.0,0.0,1.0
CUST0000019629,311.0,117.0,0.0,1.0
CUST0000019980,8.0,3.0,0.0,0.0
CUST0000019986,0.0,5.0,0.0,0.0
CUST0000019987,1.0,0.0,0.0,0.0
CUST0000020029,71.0,0.0,1.0,3.0
CUST0000020571,58.0,4.0,0.0,0.0
CUST0000020908,45.0,9.0,1.0,0.0
CUST0000021007,104.0,2.0,0.0,0.0
CUST0000021287,3.0,7.0,11.0,0.0
CUST0000021723,0.0,0.0,44.0,0.0
CUST0000022234,9.0,23.0,4.0,0.0
CUST0000022316,3.0,99.0,1.0,2.0
CUST0000022415,9.0,0.0,0.0,0.0
CUST0000022814,94.0,11.0,0.0,1.0
CUST0000023291,8.0,3.0,0.0,2.0
CUST0000023371,2.0,0.0,0.0,0.0
CUST0000023406,58.0,33.0,5.0,5.0
CUST0000023618,255.0,0.0,0.0,0.0
CUST0000023729,2.0,0.0,0.0,0.0
CUST0000023874,2.0,0.0,0.0,0.0
CUST0000023876,1.0,4.0,0.0,0.0
CUST0000023985,0.0,6.0,0.0,0.0
CUST0000024442,1.0,1.0,0.0,0.0
CUST0000024551,4.0,0.0,0.0,0.0
CUST0000024653,26.0,4.0,0.0,0.0
CUST0000024790,2.0,0.0,0.0,0.0
CUST0000024896,6.0,17.0,0.0,0.0
CUST0000025217,3.0,0.0,0.0,0.0
CUST0000025221,6.0,0.0,0.0,0.0
CUST0000025292,6.0,0.0,0.0,0.0
CUST0000025448,85.0,1.0,0.0,0.0
CUST0000025657,3.0,26.0,0.0,0.0
CUST0000025672,2.0,0.0,0.0,0.0
CUST0000025682,0.0,0.0,0.0,6.0
CUST0000025691,4.0,0.0,0.0,0.0
CUST0000026426,1.0,0.0,0.0,0.0
CUST0000026547,12.0,101.0,0.0,0.0
CUST0000026732,31.0,11.0,1.0,0.0
CUST0000026911,1.0,32.0,0.0,0.0
CUST0000027188,123.0,44.0,0.0,0.0
CUST0000027294,0.0,2.0,0.0,0.0
CUST0000027371,4.0,0.0,7.0,0.0
CUST0000027873,51.0,39.0,295.0,0.0
CUST0000028030,0.0,1.0,0.0,0.0
CUST0000028077,8.0,0.0,0.0,0.0
CUST0000028109,93.0,2.0,0.0,65.0
CUST0000028257,1.0,0.0,0.0,2.0
CUST0000028627,13.0,0.0,0.0,0.0
CUST0000029009,170.0,1.0,0.0,0.0
CUST0000029233,64.0,1.0,0.0,0.0
CUST0000029326,14.0,3.0,1.0,0.0
CUST0000029392,96.0,0.0,0.0,0.0
CUST0000029587,259.0,1.0,142.0,0.0
CUST0000029729,2.0,165.0,2.0,0.0
CUST0000029952,13.0,2.0,0.0,0.0
CUST0000030086,3.0,0.0,0.0,0.0
CUST0000030374,8.0,2.0,3.0,10.0
CUST0000030521,486.0,1.0,0.0,0.0
CUST0000030585,123.0,0.0,0.0,0.0
CUST0000031428,201.0,24.0,0.0,0.0
CUST0000031564,2.0,0.0,0.0,0.0
CUST0000031996,2.0,0.0,0.0,0.0
CUST0000032568,23.0,0.0,0.0,0.0
CUST0000032697,38.0,5.0,0.0,0.0
CUST0000032813,55.0,307.0,0.0,24.0
CUST0000033304,124.0,0.0,2.0,0.0
CUST0000033395,4.0,0.0,0.0,27.0
CUST0000033514,0.0,0.0,0.0,47.0
CUST0000034023,159.0,7.0,0.0,0.0
CUST0000034375,13.0,2.0,0.0,0.0
CUST0000034450,69.0,0.0,1.0,0.0
CUST0000035935,71.0,0.0,0.0,0.0
CUST0000036781,2.0,0.0,1.0,0.0
CUST0000036792,142.0,0.0,0.0,0.0
CUST0000037150,104.0,2.0,9.0,0.0
CUST0000037401,3.0,0.0,0.0,0.0
CUST0000037542,11.0,203.0,1.0,0.0
CUST0000037746,16.0,27.0,27.0,231.0
CUST0000037843,14.0,0.0,0.0,0.0
CUST0000038037,8.0,0.0,2.0,0.0
CUST0000038061,2.0,4.0,0.0,0.0
CUST0000038162,4.0,194.0,0.0,0.0
CUST0000038166,3.0,0.0,0.0,0.0
CUST0000038793,42.0,10.0,0.0,0.0
CUST0000039024,30.0,0.0,2.0,0.0
CUST0000039202,55.0,0.0,2.0,1.0
CUST0000039473,226.0,4.0,0.0,18.0
CUST0000039589,3.0,123.0,0.0,0.0
CUST0000039817,1.0,0.0,0.0,0.0
CUST0000039828,180.0,1.0,0.0,0.0
CUST0000039924,1.0,3.0,6.0,0.0
CUST0000040270,35.0,2.0,0.0,0.0
CUST0000040366,175.0,0.0,0.0,0.0
CUST0000040788,31.0,30.0,37.0,1.0
CUST0000040819,19.0,34.0,1.0,177.0
CUST0000041142,146.0,17.0,0.0,0.0
CUST0000041292,3.0,0.0,0.0,0.0
CUST0000041315,8.0,29.0,0.0,0.0
CUST0000041397,0.0,44.0,0.0,0.0
CUST0000041637,47.0,3.0,25.0,0.0
CUST0000041705,5.0,0.0,0.0,0.0
CUST0000041792,274.0,0.0,0.0,1.0
CUST0000041920,24.0,2.0,0.0,0.0
CUST0000042133,2.0,31.0,0.0,0.0
CUST0000042310,116.0,52.0,16.0,0.0
CUST0000042324,64.0,8.0,0.0,0.0
CUST0000042355,0.0,0.0,0.0,2.0
CUST0000042419,8.0,44.0,1.0,0.0
CUST0000042509,1.0,0.0,0.0,0.0
CUST0000042921,92.0,0.0,0.0,0.0
CUST0000042928,4.0,15.0,0.0,0.0
CUST0000043076,0.0,169.0,9.0,39.0
CUST0000043090,65.0,6.0,0.0,0.0
CUST0000043417,79.0,4.0,0.0,0.0
CUST0000043446,0.0,0.0,0.0,1.0
CUST0000043639,1.0,0.0,0.0,0.0
CUST0000044201,2.0,0.0,0.0,0.0
CUST0000044470,56.0,2.0,0.0,0.0
CUST0000044673,7.0,0.0,0.0,0.0
CUST0000044799,0.0,0.0,0.0,2.0
CUST0000044856,116.0,0.0,0.0,28.0
CUST0000044868,1.0,0.0,0.0,0.0
CUST0000045451,61.0,2.0,2.0,0.0
CUST0000045979,36.0,27.0,0.0,2.0
CUST0000046097,1.0,137.0,4.0,0.0
CUST0000046348,63.0,11.0,9.0,61.0
CUST0000046556,19.0,0.0,3.0,0.0
CUST0000046594,12.0,293.0,1.0,0.0
CUST0000046609,0.0,3.0,0.0,0.0
CUST0000046755,278.0,10.0,5.0,0.0
CUST0000046773,0.0,2.0,0.0,0.0
CUST0000047009,1.0,0.0,0.0,0.0
CUST0000047027,15.0,2.0,0.0,107.0
CUST0000047261,10.0,0.0,2.0,0.0
CUST0000047548,124.0,3.0,0.0,0.0
CUST0000047889,40.0,0.0,0.0,0.0
CUST0000047909,63.0,0.0,0.0,1.0
CUST0000048091,16.0,0.0,0.0,37.0
CUST0000048128,0.0,2.0,0.0,0.0
CUST0000048202,1.0,8.0,78.0,0.0
CUST0000048286,48.0,4.0,2.0,0.0
CUST0000048320,40.0,38.0,0.0,0.0
CUST0000048357,0.0,251.0,0.0,0.0
CUST0000048950,1.0,0.0,0.0,0.0
CUST0000049075,1.0,0.0,0.0,62.0
CUST0000049271,1.0,0.0,0.0,0.0
CUST0000049424,49.0,0.0,0.0,0.0
CUST0000049454,8.0,0.0,4.0,0.0
CUST0000049591,5.0,3.0,18.0,0.0
CUST0000049612,102.0,15.0,0.0,0.0
CUST0000049621,33.0,1.0,0.0,7.0
CUST0000049880,148.0,3.0,0.0,0.0
CUST0000050133,2.0,0.0,0.0,0.0
CUST0000050163,0.0,8.0,0.0,0.0
CUST0000050331,68.0,3.0,0.0,2.0
CUST0000050344,1.0,5.0,1.0,114.0
CUST0000050558,0.0,1.0,10.0,0.0
CUST0000051369,3.0,32.0,0.0,0.0
CUST0000051933,34.0,2.0,0.0,0.0
CUST0000051975,168.0,0.0,0.0,0.0
CUST0000052443,0.0,231.0,0.0,0.0
CUST0000052765,64.0,63.0,12.0,0.0
CUST0000052887,2.0,0.0,0.0,0.0
CUST0000053274,51.0,0.0,0.0,0.0
CUST0000053339,1.0,0.0,1.0,0.0
CUST0000053580,8.0,2.0,0.0,0.0
CUST0000053659,91.0,44.0,0.0,0.0
CUST0000053837,39.0,40.0,0.0,0.0
CUST0000053961,13.0,19.0,0.0,14.0
CUST0000054115,35.0,2.0,2.0,22.0
CUST0000054749,73.0,0.0,24.0,0.0
CUST0000054756,33.0,46.0,20.0,13.0
CUST0000054771,2.0,0.0,0.0,0.0
CUST0000054804,45.0,13.0,1.0,0.0
CUST0000054846,0.0,0.0,1.0,0.0
CUST0000055017,1.0,0.0,0.0,0.0
CUST0000055064,142.0,0.0,16.0,0.0
CUST0000055116,1.0,0.0,0.0,0.0
CUST0000055165,5.0,0.0,0.0,0.0
CUST0000055276,5.0,0.0,0.0,0.0
CUST0000055381,85.0,2.0,3.0,1.0
CUST0000055392,9.0,0.0,0.0,0.0
CUST0000055396,0.0,1.0,37.0,0.0
CUST0000055631,0.0,16.0,0.0,0.0
CUST0000055829,266.0,0.0,0.0,1.0
CUST0000055931,2.0,92.0,0.0,0.0
CUST0000055988,0.0,0.0,1.0,0.0
CUST0000056276,6.0,55.0,0.0,0.0
CUST0000056533,11.0,0.0,0.0,0.0
CUST0000056664,7.0,1.0,0.0,0.0
CUST0000056849,117.0,1.0,0.0,8.0
CUST0000056956,1.0,0.0,0.0,0.0
CUST0000057033,94.0,101.0,0.0,0.0
CUST0000057088,9.0,0.0,247.0,23.0
CUST0000057417,488.0,0.0,1.0,0.0
CUST0000057790,0.0,1.0,0.0,0.0
CUST0000058498,2.0,0.0,0.0,0.0
CUST0000058615,1.0,0.0,0.0,0.0
CUST0000058634,29.0,0.0,0.0,0.0
CUST0000058875,180.0,0.0,0.0,0.0
CUST0000059001,31.0,39.0,1.0,5.0
CUST0000059470,0.0,51.0,1.0,0.0
CUST0000059541,3.0,5.0,8.0,0.0
CUST0000060014,10.0,0.0,0.0,0.0
CUST0000060094,23.0,4.0,0.0,1.0
CUST0000060098,0.0,0.0,0.0,1.0
CUST0000060281,4.0,2.0,0.0,0.0
CUST0000060410,1.0,294.0,0.0,3.0
CUST0000060707,16.0,2.0,0.0,0.0
CUST0000060800,47.0,1.0,0.0,0.0
CUST0000060847,172.0,16.0,0.0,6.0
CUST0000061162,3.0,25.0,0.0,0.0
CUST0000061214,1.0,82.0,0.0,1.0
CUST0000061224,1.0,0.0,0.0,0.0
CUST0000061263,79.0,0.0,0.0,0.0
CUST0000061472,35.0,28.0,1.0,3.0
CUST0000061695,175.0,6.0,0.0,0.0
CUST0000062082,15.0,0.0,0.0,0.0
CUST0000062102,0.0,1.0,0.0,0.0
CUST0000062146,9.0,0.0,0.0,0.0
CUST0000062236,96.0,8.0,1.0,0.0
CUST0000062382,0.0,0.0,25.0,0.0
CUST0000062780,0.0,59.0,0.0,0.0
CUST0000062891,0.0,0.0,35.0,0.0
CUST0000062946,178.0,30.0,0.0,0.0
CUST0000063103,31.0,0.0,1.0,0.0
CUST0000063144,0.0,1.0,0.0,0.0
CUST0000063172,0.0,10.0,0.0,0.0
CUST0000063646,2.0,2.0,0.0,5.0
CUST0000063939,39.0,0.0,18.0,78.0
CUST0000065468,16.0,2.0,0.0,0.0
CUST0000065671,13.0,9.0,120.0,0.0
CUST0000066327,0.0,2.0,0.0,0.0
CUST0000066423,15.0,2.0,1.0,0.0
CUST0000066462,65.0,3.0,0.0,0.0
CUST0000066762,101.0,1.0,0.0,0.0
CUST0000067158,214.0,0.0,0.0,0.0
CUST0000067605,3.0,15.0,0.0,0.0
CUST0000067841,44.0,1.0,0.0,3.0
CUST0000067848,2.0,0.0,0.0,0.0
CUST0000067889,1.0,0.0,0.0,0.0
CUST0000068170,108.0,95.0,20.0,0.0
CUST0000068730,111.0,48.0,1.0,6.0
CUST0000068797,0.0,370.0,0.0,0.0
CUST0000069011,24.0,0.0,53.0,0.0
CUST0000069477,1.0,0.0,0.0,0.0
CUST0000069624,6.0,213.0,8.0,8.0
CUST0000069832,0.0,2.0,0.0,0.0
CUST0000070207,0.0,0.0,0.0,23.0
CUST0000070949,21.0,0.0,0.0,0.0
CUST0000070986,58.0,26.0,0.0,0.0
CUST0000071220,1.0,0.0,7.0,0.0
CUST0000071264,3.0,7.0,0.0,0.0
CUST0000071511,1.0,0.0,0.0,0.0
CUST0000071732,39.0,184.0,0.0,0.0
CUST0000072124,42.0,0.0,0.0,0.0
CUST0000072578,87.0,0.0,0.0,0.0
CUST0000072800,135.0,0.0,0.0,5.0
CUST0000073199,38.0,440.0,1.0,0.0
CUST0000073777,2.0,21.0,0.0,0.0
CUST0000074341,1.0,0.0,11.0,22.0
CUST0000074550,1.0,0.0,2.0,0.0
CUST0000074601,58.0,0.0,1.0,0.0
CUST0000074825,0.0,57.0,0.0,0.0
CUST0000075013,0.0,0.0,1.0,0.0
CUST0000075112,99.0,4.0,16.0,0.0
CUST0000075376,144.0,0.0,8.0,0.0
CUST0000076078,20.0,0.0,0.0,0.0
CUST0000076091,59.0,0.0,0.0,0.0
CUST0000076243,155.0,1.0,7.0,0.0
CUST0000076787,83.0,0.0,1.0,0.0
CUST0000076793,17.0,1.0,0.0,0.0
CUST0000077221,1.0,0.0,0.0,0.0
CUST0000077294,68.0,3.0,0.0,1.0
CUST0000077478,0.0,0.0,1.0,0.0
CUST0000077708,153.0,0.0,0.0,7.0
CUST0000077998,62.0,0.0,1.0,0.0
CUST0000078020,0.0,405.0,26.0,0.0
CUST0000078328,47.0,120.0,0.0,0.0
CUST0000078429,85.0,30.0,1.0,7.0
CUST0000078777,0.0,227.0,1.0,0.0
CUST0000078889,26.0,1.0,1.0,0.0
CUST0000079114,86.0,7.0,0.0,0.0
CUST0000079125,0.0,16.0,0.0,0.0
CUST0000079207,74.0,16.0,0.0,0.0
CUST0000079529,72.0,7.0,0.0,0.0
CUST0000079790,18.0,0.0,0.0,0.0
CUST0000080301,5.0,80.0,0.0,0.0
CUST0000080372,41.0,0.0,1.0,0.0
CUST0000080630,127.0,139.0,0.0,0.0
CUST0000080684,3.0,0.0,0.0,0.0
CUST0000080905,3.0,0.0,0.0,0.0
CUST0000081109,1.0,0.0,0.0,0.0
CUST0000081255,268.0,0.0,0.0,0.0
CUST0000081326,144.0,12.0,0.0,0.0
CUST0000081357,60.0,26.0,0.0,2.0
CUST0000081381,0.0,9.0,0.0,0.0
CUST0000081683,0.0,52.0,0.0,0.0
CUST0000081993,11.0,93.0,0.0,0.0
CUST0000082206,79.0,0.0,0.0,0.0
CUST0000082456,1.0,0.0,32.0,6.0
CUST0000082523,128.0,1.0,15.0,0.0
CUST0000083700,111.0,0.0,0.0,0.0
CUST0000083735,1.0,0.0,0.0,0.0
CUST0000083736,4.0,87.0,0.0,0.0
CUST0000084449,134.0,4.0,29.0,193.0
CUST0000084519,0.0,21.0,0.0,0.0
CUST0000084849,100.0,1.0,0.0,0.0
CUST0000084889,0.0,1.0,0.0,0.0
CUST0000084985,0.0,29.0,0.0,0.0
CUST0000085180,149.0,100.0,0.0,0.0
CUST0000085249,0.0,81.0,0.0,0.0
CUST0000085396,35.0,0.0,0.0,6.0
CUST0000085435,118.0,3.0,0.0,0.0
CUST0000085537,4.0,104.0,0.0,5.0
CUST0000085841,6.0,0.0,0.0,0.0
CUST0000086468,1.0,0.0,0.0,0.0
CUST0000086516,127.0,10.0,10.0,0.0
CUST0000086754,0.0,0.0,1.0,0.0
CUST0000086768,162.0,2.0,0.0,1.0
CUST0000086810,1.0,0.0,0.0,0.0
CUST0000086931,0.0,1.0,0.0,0.0
CUST0000086940,41.0,28.0,0.0,0.0
CUST0000086976,14.0,291.0,0.0,0.0
CUST0000087799,0.0,59.0,0.0,0.0
CUST0000087833,34.0,2.0,45.0,0.0
CUST0000087850,3.0,2.0,0.0,41.0
CUST0000087895,42.0,163.0,1.0,61.0
CUST0000088073,29.0,2.0,0.0,39.0
CUST0000088232,47.0,208.0,2.0,0.0
CUST0000088309,42.0,0.0,0.0,0.0
CUST0000088415,492.0,157.0,81.0,5.0
CUST0000088575,131.0,213.0,10.0,2.0
CUST0000088620,30.0,3.0,0.0,0.0
CUST0000088701,33.0,82.0,0.0,0.0
CUST0000088813,9.0,0.0,0.0,0.0
CUST0000088853,1.0,2.0,6.0,0.0
CUST0000088904,0.0,1.0,0.0,0.0
CUST0000088955,301.0,11.0,5.0,8.0
CUST0000089459,1.0,48.0,0.0,0.0
CUST0000089485,1.0,0.0,0.0,0.0
CUST0000089501,4.0,21.0,74.0,0.0
CUST0000089711,39.0,0.0,0.0,0.0
CUST0000089820,294.0,0.0,3.0,1.0
CUST0000089962,1.0,0.0,0.0,0.0
CUST0000090072,3.0,18.0,2.0,0.0
CUST0000090376,33.0,0.0,0.0,0.0
CUST0000090508,222.0,0.0,2.0,1.0
CUST0000090867,2.0,2.0,0.0,0.0
CUST0000090870,0.0,0.0,1.0,0.0
CUST0000090957,0.0,25.0,0.0,0.0
CUST0000091090,9.0,2.0,0.0,0.0
CUST0000091257,0.0,3.0,0.0,0.0
CUST0000091271,226.0,1.0,0.0,0.0
CUST0000091625,40.0,0.0,0.0,23.0
CUST0000091646,0.0,1.0,0.0,0.0
CUST0000091671,21.0,4.0,1.0,0.0
CUST0000091697,33.0,1.0,0.0,0.0
CUST0000091796,1.0,3.0,0.0,3.0
CUST0000091896,283.0,28.0,0.0,0.0
CUST0000092176,2.0,7.0,31.0,281.0
CUST0000092187,68.0,0.0,0.0,0.0
CUST0000092201,55.0,0.0,5.0,4.0
CUST0000092269,0.0,83.0,0.0,1.0
CUST0000092328,0.0,7.0,0.0,0.0
CUST0000092460,47.0,0.0,1.0,126.0
CUST0000092637,4.0,0.0,0.0,0.0
CUST0000092645,43.0,2.0,1.0,0.0
CUST0000092674,5.0,68.0,0.0,0.0
CUST0000092719,4.0,0.0,0.0,1.0
CUST0000092839,118.0,24.0,1.0,0.0
CUST0000093216,30.0,6.0,1.0,0.0
CUST0000093607,153.0,1.0,0.0,0.0
CUST0000094387,17.0,2.0,0.0,0.0
CUST0000094518,3.0,0.0,0.0,0.0
CUST0000094693,1.0,0.0,0.0,0.0
CUST0000094763,47.0,0.0,40.0,0.0
CUST0000095091,1.0,0.0,4.0,0.0
CUST0000095092,1.0,0.0,0.0,0.0
CUST0000095209,0.0,0.0,0.0,2.0
CUST0000095712,30.0,15.0,0.0,0.0
CUST0000095739,50.0,1.0,0.0,0.0
CUST0000096239,24.0,0.0,0.0,0.0
CUST0000096331,0.0,0.0,2.0,0.0
CUST0000096346,47.0,0.0,0.0,3.0
CUST0000096525,0.0,14.0,0.0,0.0
CUST0000096570,90.0,0.0,1.0,0.0
CUST0000097065,227.0,2.0,1.0,0.0
CUST0000097226,7.0,0.0,0.0,0.0
CUST0000097252,137.0,5.0,3.0,1.0
CUST0000097286,0.0,0.0,1.0,0.0
CUST0000097667,121.0,1.0,1.0,18.0
CUST0000097732,1.0,120.0,1.0,3.0
CUST0000098174,3.0,0.0,0.0,9.0
CUST0000098337,15.0,18.0,0.0,1.0
CUST0000098418,0.0,0.0,0.0,2.0
CUST0000098592,1.0,1.0,2.0,0.0
CUST0000098598,2.0,0.0,0.0,0.0
CUST0000098775,13.0,0.0,0.0,0.0
CUST0000098812,0.0,1.0,0.0,0.0
CUST0000099026,7.0,35.0,0.0,16.0
CUST0000099315,199.0,10.0,0.0,2.0
CUST0000099465,62.0,0.0,0.0,0.0
CUST0000099530,159.0,0.0,8.0,0.0
CUST0000099557,174.0,0.0,4.0,0.0
CUST0000100419,8.0,0.0,0.0,0.0
CUST0000100432,28.0,0.0,0.0,0.0
CUST0000100629,93.0,1.0,0.0,3.0
CUST0000100865,68.0,0.0,2.0,0.0
CUST0000100897,0.0,4.0,0.0,281.0
CUST0000100914,1.0,21.0,6.0,0.0
CUST0000100955,116.0,0.0,0.0,8.0
CUST0000101121,3.0,1.0,12.0,16.0
CUST0000101162,0.0,79.0,0.0,0.0
CUST0000101185,0.0,32.0,0.0,0.0
CUST0000101377,1.0,0.0,0.0,0.0
CUST0000101652,4.0,2.0,75.0,16.0
CUST0000101739,0.0,0.0,0.0,2.0
CUST0000101913,0.0,0.0,1.0,0.0
CUST0000102015,159.0,0.0,25.0,0.0
CUST0000102309,93.0,5.0,5.0,0.0
CUST0000102331,34.0,0.0,0.0,0.0
CUST0000102383,1.0,98.0,18.0,0.0
CUST0000102491,1.0,0.0,0.0,0.0
CUST0000102869,14.0,1.0,0.0,0.0
CUST0000102963,0.0,46.0,0.0,0.0
CUST0000103039,5.0,6.0,0.0,0.0
CUST0000103653,71.0,0.0,3.0,0.0
CUST0000103784,95.0,0.0,73.0,0.0
CUST0000104035,199.0,0.0,0.0,0.0
CUST0000104542,42.0,43.0,21.0,0.0
CUST0000104637,219.0,2.0,0.0,0.0
CUST0000104788,0.0,0.0,1.0,0.0
CUST0000104986,0.0,118.0,0.0,0.0
CUST0000105001,45.0,1.0,0.0,0.0
CUST0000105586,74.0,13.0,13.0,13.0
CUST0000105613,27.0,5.0,0.0,1.0
CUST0000105652,3.0,107.0,0.0,0.0
CUST0000105720,361.0,1.0,0.0,0.0
CUST0000105725,0.0,0.0,1.0,0.0
CUST0000106420,23.0,31.0,0.0,2.0
CUST0000106540,8.0,64.0,0.0,0.0
CUST0000106639,100.0,3.0,0.0,0.0
CUST0000106749,1.0,0.0,0.0,0.0
CUST0000106770,0.0,1.0,0.0,11.0
CUST0000106871,19.0,9.0,18.0,1.0
CUST0000107151,12.0,2.0,19.0,1.0
CUST0000107301,0.0,9.0,0.0,0.0
CUST0000107333,0.0,2.0,6.0,0.0
CUST0000107554,112.0,14.0,0.0,0.0
CUST0000107768,32.0,0.0,81.0,0.0
CUST0000107770,72.0,6.0,0.0,1.0
CUST0000109079,188.0,3.0,0.0,0.0
CUST0000109120,0.0,1.0,0.0,0.0
CUST0000109188,9.0,65.0,0.0,0.0
CUST0000109193,67.0,11.0,0.0,0.0
CUST0000109262,0.0,1.0,0.0,0.0
CUST0000109451,1.0,0.0,0.0,0.0
CUST0000109500,0.0,49.0,0.0,0.0
CUST0000109509,1.0,0.0,0.0,0.0
CUST0000109625,38.0,0.0,0.0,0.0
CUST0000109639,159.0,5.0,0.0,0.0
CUST0000109701,0.0,4.0,0.0,0.0
CUST0000109728,0.0,18.0,0.0,0.0
CUST0000110356,2.0,1.0,0.0,18.0
CUST0000110486,4.0,33.0,8.0,0.0
CUST0000110508,27.0,4.0,0.0,0.0
CUST0000110607,1.0,3.0,41.0,0.0
CUST0000110748,2.0,0.0,0.0,0.0
CUST0000110854,10.0,2.0,0.0,0.0
CUST0000111137,37.0,88.0,0.0,0.0
CUST0000111673,69.0,30.0,0.0,0.0
CUST0000111779,0.0,0.0,0.0,9.0
CUST0000112178,4.0,39.0,2.0,1.0
CUST0000112412,0.0,81.0,0.0,0.0
CUST0000112467,193.0,5.0,0.0,4.0
CUST0000112612,8.0,0.0,0.0,0.0
CUST0000113788,148.0,6.0,9.0,0.0
