cust_id,cust_price_sensitivity,cust_lifestage,total_spend,no_trans
CUST0000018390,LA,OT,975.38,61
CUST0000018482,XX,OT,1.65,1
CUST0000018545,UM,YA,69.72,11
CUST0000018583,MM,OT,515.61,20
CUST0000018830,MM,PE,65.91,8
CUST0000018911,LA,,1771.43,102
CUST0000018943,MM,OT,2204.63,54
CUST0000019017,XX,OT,22.93,1
CUST0000019337,XX,OT,0.03,3
CUST0000019499,LA,OT,35.62,1
CUST0000019629,UM,YF,5673.32,429
CUST0000019980,UM,OT,95.8,11
CUST0000019986,MM,OT,25.32,5
CUST0000019987,XX,OT,12.0,1
CUST0000020029,MM,OA,936.93,75
CUST0000020571,MM,YF,832.69,62
CUST0000020908,MM,OT,257.38,55
CUST0000021007,MM,OF,911.18,106
CUST0000021287,MM,OT,40.9,21
CUST0000021723,MM,YF,274.45,44
CUST0000022234,LA,OF,177.8,36
CUST0000022316,LA,OT,1253.49,105
CUST0000022415,MM,OT,332.01,9
CUST0000022814,UM,OT,856.36,106
CUST0000023291,UM,OT,162.22,13
CUST0000023371,XX,OT,13.52,2
CUST0000023406,UM,YA,622.03,101
CUST0000023618,MM,YA,2618.06,255
CUST0000023729,XX,,1.68,2
CUST0000023874,XX,OT,2.1,2
CUST0000023876,LA,OT,20.69,5
CUST0000023985,UM,OT,23.84,6
CUST0000024442,LA,YF,9.75,2
CUST0000024551,XX,YA,19.62,4
CUST0000024653,UM,OA,92.2,30
CUST0000024790,XX,YA,3.21,2
CUST0000024896,UM,PE,111.73,23
CUST0000025217,MM,YA,245.08,3
CUST0000025221,MM,,440.83,6
CUST0000025292,UM,OT,41.43,6
CUST0000025448,MM,YF,3055.33,86
CUST0000025657,MM,PE,82.45,29
CUST0000025672,XX,OT,10.8,2
CUST0000025682,UM,OT,204.88,6
CUST0000025691,UM,OF,51.55,4
CUST0000026426,LA,OT,17.41,1
CUST0000026547,LA,OT,1322.44,113
CUST0000026732,MM,PE,598.64,43
CUST0000026911,UM,OT,417.42,33
CUST0000027188,LA,YF,1263.74,167
CUST0000027294,XX,OF,19.08,2
CUST0000027371,LA,PE,54.65,11
CUST0000027873,UM,PE,3713.24,385
CUST0000028030,XX,OT,2.62,1
CUST0000028077,UM,OT,71.75,8
CUST0000028109,MM,YA,2853.33,160
CUST0000028257,MM,OT,30.4,3
CUST0000028627,LA,OA,300.47,13
CUST0000029009,LA,YA,1327.25,171
CUST0000029233,LA,YF,1208.32,65
CUST0000029326,UM,YA,317.39,18
CUST0000029392,UM,OT,3261.46,96
CUST0000029587,UM,YA,4360.85,402
CUST0000029729,UM,OA,1403.38,169
CUST0000029952,UM,OT,166.46,15
CUST0000030086,LA,OT,28.29,3
CUST0000030374,MM,YF,281.43,23
CUST0000030521,LA,,2192.65,487
CUST0000030585,LA,OT,3765.58,123
CUST0000031428,MM,YA,2741.81,225
CUST0000031564,XX,,7.54,2
CUST0000031996,XX,OT,12.3,2
CUST0000032568,MM,,462.68,23
CUST0000032697,LA,OT,120.42,43
CUST0000032813,UM,OT,3198.43,386
CUST0000033304,MM,OA,3282.12,126
CUST0000033395,MM,OT,256.6,31
CUST0000033514,LA,OA,235.87,47
CUST0000034023,MM,YF,2992.74,166
CUST0000034375,LA,OT,107.11,15
CUST0000034450,UM,YF,504.59,70
CUST0000035935,MM,OT,2682.66,71
CUST0000036781,UM,OT,40.09,3
CUST0000036792,MM,PE,1552.09,142
CUST0000037150,UM,OT,1570.92,115
CUST0000037401,XX,PE,6.36,3
CUST0000037542,UM,,1732.11,215
CUST0000037746,UM,OT,2072.38,301
CUST0000037843,LA,YA,163.51,14
CUST0000038037,XX,,54.11,10
CUST0000038061,UM,OA,22.78,6
CUST0000038162,MM,YA,1164.92,198
CUST0000038166,XX,OT,175.74,3
CUST0000038793,LA,YA,472.98,52
CUST0000039024,MM,YF,393.9,32
CUST0000039202,LA,OT,1070.52,58
CUST0000039473,UM,PE,1479.98,248
CUST0000039589,MM,OT,2187.58,126
CUST0000039817,XX,OT,6.09,1
CUST0000039828,MM,,1041.72,181
CUST0000039924,UM,OT,146.63,10
CUST0000040270,UM,PE,393.7,37
CUST0000040366,LA,YA,851.95,175
CUST0000040788,UM,YA,1116.32,99
CUST0000040819,MM,YF,3674.83,231
CUST0000041142,LA,,1300.1,163
CUST0000041292,XX,YA,18.42,3
CUST0000041315,LA,OA,1040.08,37
CUST0000041397,LA,YA,393.29,44
CUST0000041637,MM,YA,885.13,75
CUST0000041705,MM,OT,83.76,5
CUST0000041792,MM,OF,4781.99,275
CUST0000041920,UM,OT,546.35,26
CUST0000042133,MM,YF,508.2,33
CUST0000042310,MM,YF,1184.31,184
CUST0000042324,LA,,1225.6,72
CUST0000042355,UM,OT,133.18,2
CUST0000042419,MM,OF,286.46,53
CUST0000042509,XX,OT,0.8,1
CUST0000042921,MM,OA,3538.31,92
CUST0000042928,UM,OT,179.39,19
CUST0000043076,MM,OT,2294.55,217
CUST0000043090,UM,OT,364.48,71
CUST0000043417,MM,PE,1539.08,83
CUST0000043446,XX,OT,4.77,1
CUST0000043639,UM,OT,13.85,1
CUST0000044201,MM,OT,38.66,2
CUST0000044470,MM,OA,427.86,58
CUST0000044673,MM,OT,13.36,7
CUST0000044799,MM,OT,30.97,2
CUST0000044856,LA,OA,1726.03,144
CUST0000044868,XX,OT,13.05,1
CUST0000045451,LA,OA,1360.17,65
CUST0000045979,LA,OT,1647.43,65
CUST0000046097,MM,OT,622.69,142
CUST0000046348,UM,YF,2097.94,144
CUST0000046556,LA,OA,164.06,22
CUST0000046594,UM,YA,1635.84,306
CUST0000046609,UM,OT,21.9,3
CUST0000046755,LA,,2671.06,293
CUST0000046773,MM,OT,4.85,2
CUST0000047009,LA,,13.58,1
CUST0000047027,UM,,1136.81,124
CUST0000047261,UM,OA,129.1,12
CUST0000047548,UM,YA,2071.49,127
CUST0000047889,MM,OT,212.56,40
CUST0000047909,MM,,282.21,64
CUST0000048091,MM,YF,348.57,53
CUST0000048128,MM,,37.1,2
CUST0000048202,MM,YA,1558.1,87
CUST0000048286,LA,YF,756.57,54
CUST0000048320,MM,OT,573.9,78
CUST0000048357,LA,OT,3696.99,251
CUST0000048950,XX,OT,32.63,1
CUST0000049075,LA,PE,438.88,63
CUST0000049271,XX,OT,3.41,1
CUST0000049424,UM,,536.46,49
CUST0000049454,UM,OA,91.98,12
CUST0000049591,UM,OT,114.32,26
CUST0000049612,LA,,612.39,117
CUST0000049621,LA,YF,671.73,41
CUST0000049880,LA,OA,2190.06,151
CUST0000050133,LA,OT,20.77,2
CUST0000050163,LA,OT,87.59,8
CUST0000050331,UM,YA,702.05,73
CUST0000050344,LA,YF,3997.41,121
CUST0000050558,MM,OA,46.34,11
CUST0000051369,UM,OT,187.89,35
CUST0000051933,LA,OA,435.52,36
CUST0000051975,UM,PE,2591.84,168
CUST0000052443,UM,OA,503.78,231
CUST0000052765,MM,YA,1612.91,139
CUST0000052887,UM,OT,57.26,2
CUST0000053274,MM,OT,959.77,51
CUST0000053339,MM,OF,18.81,2
CUST0000053580,LA,OT,31.44,10
CUST0000053659,MM,YA,1348.1,135
CUST0000053837,MM,YA,1177.15,79
CUST0000053961,UM,,1504.39,46
CUST0000054115,MM,OT,550.2,61
CUST0000054749,LA,YA,663.05,97
CUST0000054756,LA,YF,741.16,112
CUST0000054771,XX,OT,3.68,2
CUST0000054804,MM,YA,155.66,59
CUST0000054846,XX,OT,0.4,1
CUST0000055017,XX,YF,21.93,1
CUST0000055064,MM,YA,1959.14,158
CUST0000055116,XX,OT,5.92,1
CUST0000055165,UM,OA,16.02,5
CUST0000055276,MM,,82.53,5
CUST0000055381,UM,YF,2043.56,91
CUST0000055392,LA,OA,71.18,9
CUST0000055396,UM,OT,217.27,38
CUST0000055631,XX,,51.23,16
CUST0000055829,LA,OT,5576.58,267
CUST0000055931,MM,OF,379.98,94
CUST0000055988,XX,OT,11.04,1
CUST0000056276,MM,OA,2953.6,61
CUST0000056533,MM,OT,134.41,11
CUST0000056664,XX,OT,12.67,8
CUST0000056849,UM,YA,1079.15,126
CUST0000056956,XX,OT,1.2,1
CUST0000057033,UM,OT,827.15,195
CUST0000057088,MM,,3165.49,279
CUST0000057417,LA,OT,3115.87,489
CUST0000057790,XX,OT,1.01,1
CUST0000058498,MM,OT,41.62,2
CUST0000058615,XX,OT,0.23,1
CUST0000058634,MM,,700.92,29
CUST0000058875,MM,OT,1343.52,180
CUST0000059001,MM,YF,893.96,76
CUST0000059470,UM,,145.69,52
CUST0000059541,UM,OT,72.82,16
CUST0000060014,LA,OT,143.89,10
CUST0000060094,MM,YA,153.61,28
CUST0000060098,UM,OT,21.6,1
CUST0000060281,LA,OA,42.73,6
CUST0000060410,MM,OA,2666.58,298
CUST0000060707,LA,PE,260.03,18
CUST0000060800,UM,,944.39,48
CUST0000060847,MM,OA,1814.97,194
CUST0000061162,UM,PE,217.58,28
CUST0000061214,MM,OT,2155.85,84
CUST0000061224,MM,OT,822.09,1
CUST0000061263,MM,PE,388.72,79
CUST0000061472,MM,YA,751.91,67
CUST0000061695,MM,PE,1131.54,181
CUST0000062082,XX,PE,173.34,15
CUST0000062102,XX,OT,2.1,1
CUST0000062146,XX,YA,14.32,9
CUST0000062236,MM,YA,632.72,105
CUST0000062382,UM,OA,182.99,25
CUST0000062780,LA,OA,395.27,59
CUST0000062891,MM,,139.65,35
CUST0000062946,MM,YF,4618.49,208
CUST0000063103,MM,,997.61,32
CUST0000063144,XX,OT,2.18,1
CUST0000063172,MM,OT,19.01,10
CUST0000063646,MM,,121.66,9
CUST0000063939,UM,,1995.56,135
CUST0000065468,UM,PE,270.33,18
CUST0000065671,LA,OT,951.07,142
CUST0000066327,XX,OT,3.86,2
CUST0000066423,MM,PE,218.07,18
CUST0000066462,UM,OT,932.85,68
CUST0000066762,UM,OF,1974.53,102
CUST0000067158,LA,OT,2391.72,214
CUST0000067605,MM,OT,304.88,18
CUST0000067841,MM,YA,1542.04,48
CUST0000067848,XX,OT,1.84,2
CUST0000067889,XX,OT,8.25,1
CUST0000068170,UM,OA,1338.75,223
CUST0000068730,MM,OT,3328.38,166
CUST0000068797,LA,OT,1163.69,370
CUST0000069011,MM,OA,998.55,77
CUST0000069477,XX,OT,4.24,1
CUST0000069624,LA,OT,1096.88,235
CUST0000069832,XX,,13.36,2
CUST0000070207,MM,OT,92.51,23
CUST0000070949,LA,OT,259.02,21
CUST0000070986,MM,PE,715.71,84
CUST0000071220,UM,OT,39.37,8
CUST0000071264,MM,,95.79,10
CUST0000071511,XX,OT,15.29,1
CUST0000071732,UM,YF,3870.7,223
CUST0000072124,LA,OA,452.86,42
CUST0000072578,UM,PE,677.79,87
CUST0000072800,UM,OA,2983.2,140
CUST0000073199,MM,OA,3584.53,479
CUST0000073777,LA,OF,112.85,23
CUST0000074341,MM,OA,322.59,34
CUST0000074550,XX,OT,13.06,3
CUST0000074601,MM,YA,736.47,59
CUST0000074825,MM,OT,187.4,57
CUST0000075013,MM,OT,60.39,1
CUST0000075112,MM,OT,1003.8,119
CUST0000075376,UM,YF,3977.63,152
CUST0000076078,LA,PE,50.2,20
CUST0000076091,UM,,1001.91,59
CUST0000076243,MM,YF,3190.61,163
CUST0000076787,MM,PE,2213.71,84
CUST0000076793,MM,PE,893.73,18
CUST0000077221,XX,OT,0.43,1
CUST0000077294,UM,OA,816.24,72
CUST0000077478,XX,OT,12.13,1
CUST0000077708,UM,YF,3415.66,160
CUST0000077998,LA,,1650.42,63
CUST0000078020,LA,PE,873.9,431
CUST0000078328,UM,,1683.19,167
CUST0000078429,LA,YA,648.44,123
CUST0000078777,LA,OF,2658.28,228
CUST0000078889,LA,OT,96.34,28
CUST0000079114,UM,OA,349.75,93
CUST0000079125,UM,OT,494.73,16
CUST0000079207,MM,OT,434.8,90
CUST0000079529,UM,,662.0,79
CUST0000079790,MM,OT,80.68,18
CUST0000080301,UM,OT,433.37,85
CUST0000080372,LA,OT,518.9,42
CUST0000080630,MM,YF,3180.86,266
CUST0000080684,XX,OT,20.41,3
CUST0000080905,XX,OA,13.86,3
CUST0000081109,XX,OT,7.07,1
CUST0000081255,MM,OA,5584.9,268
CUST0000081326,LA,OT,881.36,156
CUST0000081357,UM,OT,1205.11,88
CUST0000081381,UM,OA,78.13,9
CUST0000081683,MM,OA,163.91,52
CUST0000081993,MM,YA,815.61,104
CUST0000082206,MM,OA,2364.04,79
CUST0000082456,MM,OT,237.68,39
CUST0000082523,MM,PE,1137.9,144
CUST0000083700,LA,YF,3404.25,111
CUST0000083735,XX,OT,0.65,1
CUST0000083736,LA,OT,402.75,91
CUST0000084449,MM,OT,4293.58,360
CUST0000084519,MM,OT,131.84,21
CUST0000084849,UM,OA,1440.89,101
CUST0000084889,XX,OT,5.96,1
CUST0000084985,MM,OT,175.97,29
CUST0000085180,LA,YF,2080.79,249
CUST0000085249,UM,OT,633.75,81
CUST0000085396,MM,YF,1715.38,41
CUST0000085435,LA,YF,2893.61,121
CUST0000085537,LA,OT,1956.07,113
CUST0000085841,LA,,210.25,6
CUST0000086468,XX,OT,2.69,1
CUST0000086516,MM,,2215.51,147
CUST0000086754,LA,OT,20.8,1
CUST0000086768,MM,YA,3087.31,165
CUST0000086810,LA,OT,13.81,1
CUST0000086931,XX,OT,9.15,1
CUST0000086940,MM,OT,980.65,69
CUST0000086976,MM,OT,3708.19,305
CUST0000087799,UM,OA,583.8,59
CUST0000087833,UM,OA,1736.77,81
CUST0000087850,UM,OT,2324.19,46
CUST0000087895,MM,YA,1837.1,267
CUST0000088073,MM,,2207.4,70
CUST0000088232,UM,YA,1767.96,257
CUST0000088309,LA,,107.83,42
CUST0000088415,MM,OF,4500.78,735
CUST0000088575,LA,OT,6169.46,356
CUST0000088620,MM,OT,98.89,33
CUST0000088701,LA,,1672.93,115
CUST0000088813,UM,PE,38.56,9
CUST0000088853,MM,OT,137.43,9
CUST0000088904,MM,OT,38.6,1
CUST0000088955,MM,YA,2922.04,325
CUST0000089459,UM,YF,241.69,49
CUST0000089485,MM,OT,46.85,1
CUST0000089501,MM,YF,1686.05,99
CUST0000089711,MM,OT,837.0,39
CUST0000089820,LA,OT,2412.75,298
CUST0000089962,XX,OT,1.46,1
CUST0000090072,MM,OT,161.63,23
CUST0000090376,LA,OA,512.35,33
CUST0000090508,LA,YF,4530.42,225
CUST0000090867,XX,,11.19,4
CUST0000090870,XX,OT,4.23,1
CUST0000090957,MM,OA,185.45,25
CUST0000091090,UM,OT,394.32,11
CUST0000091257,MM,OT,39.23,3
CUST0000091271,LA,,3341.34,227
CUST0000091625,UM,YA,1303.36,63
CUST0000091646,MM,OT,26.57,1
CUST0000091671,UM,,52.61,26
CUST0000091697,MM,OF,531.95,34
CUST0000091796,XX,,27.04,7
CUST0000091896,MM,OT,7714.01,311
CUST0000092176,UM,OA,3613.27,321
CUST0000092187,MM,YA,734.51,68
CUST0000092201,MM,OT,837.06,64
CUST0000092269,MM,OA,999.36,84
CUST0000092328,MM,OT,159.7,7
CUST0000092460,MM,YA,1181.2,174
CUST0000092637,MM,PE,24.48,4
CUST0000092645,MM,YA,927.2,46
CUST0000092674,MM,YA,493.97,73
CUST0000092719,MM,YA,27.0,5
CUST0000092839,UM,YA,786.75,143
CUST0000093216,UM,OF,705.64,37
CUST0000093607,LA,PE,828.53,154
CUST0000094387,MM,PE,72.69,19
CUST0000094518,UM,OT,68.41,3
CUST0000094693,XX,OT,9.84,1
CUST0000094763,UM,OT,367.81,87
CUST0000095091,MM,YF,77.11,5
CUST0000095092,LA,OT,44.33,1
CUST0000095209,MM,OT,104.18,2
CUST0000095712,LA,OT,399.44,45
CUST0000095739,UM,OT,1536.96,51
CUST0000096239,LA,YA,100.5,24
CUST0000096331,XX,PE,9.14,2
CUST0000096346,UM,YA,173.25,50
CUST0000096525,MM,,97.25,14
CUST0000096570,UM,PE,1362.36,91
CUST0000097065,MM,YA,2524.38,230
CUST0000097226,MM,OT,102.18,7
CUST0000097252,UM,OT,4685.24,146
CUST0000097286,XX,OT,3.24,1
CUST0000097667,UM,OT,2605.12,141
CUST0000097732,MM,OF,3321.0,125
CUST0000098174,MM,,255.6,12
CUST0000098337,MM,OT,128.48,34
CUST0000098418,MM,OT,52.06,2
CUST0000098592,XX,OT,3.84,4
CUST0000098598,XX,OT,34.08,2
CUST0000098775,UM,OT,134.77,13
CUST0000098812,LA,PE,29.47,1
CUST0000099026,LA,OT,1634.26,58
CUST0000099315,MM,OA,3030.77,211
CUST0000099465,UM,OA,394.76,62
CUST0000099530,MM,YF,2931.86,167
CUST0000099557,UM,YA,2781.02,178
CUST0000100419,LA,YA,91.91,8
CUST0000100432,LA,OA,496.93,28
CUST0000100629,MM,YF,1755.09,97
CUST0000100865,MM,YF,434.26,70
CUST0000100897,UM,OT,1951.44,285
CUST0000100914,LA,OT,429.42,28
CUST0000100955,MM,OA,2036.53,124
CUST0000101121,MM,OA,534.94,32
CUST0000101162,UM,PE,1301.38,79
CUST0000101185,LA,OA,430.16,32
CUST0000101377,MM,OT,13.92,1
CUST0000101652,MM,OT,594.39,97
CUST0000101739,XX,OT,8.92,2
CUST0000101913,XX,OT,7.96,1
CUST0000102015,LA,OT,4025.7,184
CUST0000102309,UM,YA,917.61,103
CUST0000102331,UM,OF,1237.11,34
CUST0000102383,UM,YA,435.79,117
CUST0000102491,MM,OT,11.67,1
CUST0000102869,MM,OT,363.46,15
CUST0000102963,MM,YA,294.41,46
CUST0000103039,LA,PE,203.22,11
CUST0000103653,UM,YF,2046.04,74
CUST0000103784,LA,YA,1625.72,168
CUST0000104035,MM,OT,4932.94,199
CUST0000104542,MM,,494.78,106
CUST0000104637,MM,,3756.07,221
CUST0000104788,XX,PE,4.99,1
CUST0000104986,MM,PE,1767.73,118
CUST0000105001,MM,OT,360.25,46
CUST0000105586,UM,OT,771.75,113
CUST0000105613,LA,OT,236.0,33
CUST0000105652,MM,OT,2127.32,110
CUST0000105720,UM,OA,761.44,362
CUST0000105725,XX,OT,1.23,1
CUST0000106420,LA,OT,177.04,56
CUST0000106540,LA,OT,380.14,72
CUST0000106639,UM,,1530.32,103
CUST0000106749,UM,OT,17.08,1
CUST0000106770,MM,YF,79.87,12
CUST0000106871,UM,YF,321.03,47
CUST0000107151,UM,YA,223.23,34
CUST0000107301,MM,OA,124.19,9
CUST0000107333,UM,OT,27.83,8
CUST0000107554,LA,PE,480.55,126
CUST0000107768,UM,OT,921.05,113
CUST0000107770,UM,OT,560.04,79
CUST0000109079,LA,OA,1233.23,191
CUST0000109120,XX,YA,22.11,1
CUST0000109188,UM,OT,1120.43,74
CUST0000109193,MM,OA,455.04,78
CUST0000109262,XX,OT,0.42,1
CUST0000109451,XX,OT,14.62,1
CUST0000109500,MM,OT,479.98,49
CUST0000109509,XX,OT,5.01,1
CUST0000109625,UM,YF,2852.48,38
CUST0000109639,UM,OT,2043.41,164
CUST0000109701,MM,OT,8.85,4
CUST0000109728,MM,OA,430.87,18
CUST0000110356,LA,YF,382.7,21
CUST0000110486,LA,OT,520.46,45
CUST0000110508,LA,,39.65,31
CUST0000110607,LA,OA,207.98,45
CUST0000110748,UM,OT,18.43,2
CUST0000110854,LA,YA,78.44,12
CUST0000111137,LA,,1901.87,125
CUST0000111673,MM,YF,680.9,99
CUST0000111779,MM,OT,160.0,9
CUST0000112178,UM,OT,847.33,46
CUST0000112412,UM,OT,229.2,81
CUST0000112467,LA,OF,2163.37,202
CUST0000112612,LA,OT,113.46,8
CUST0000113788,LA,OA,398.33,163
CUST0000113976,UM,OT,1482.05,52
CUST0000114208,MM,YF,1657.85,90
CUST0000114492,UM,OA,784.72,51
CUST0000114775,UM,OT,6671.22,124
CUST0000115101,UM,,2520.72,225
CUST0000115390,MM,YA,3633.88,127
CUST0000115400,UM,YA,164.66,5
CUST0000115401,LA,OT,45.18,7
CUST0000115629,MM,OT,1107.88,59
CUST0000115923,MM,OT,527.26,90
CUST0000115970,MM,YA,4013.46,463
CUST0000116031,LA,OT,47.67,3
CUST0000117239,UM,YA,885.66,187
CUST0000117522,XX,OT,30.22,1
CUST0000117777,UM,PE,1143.28,19
CUST0000119198,MM,OT,1557.14,110
CUST0000119837,MM,OT,531.35,13
CUST0000120088,LA,YF,702.19,46
CUST0000120143,UM,OT,148.53,14
CUST0000120214,LA,OT,705.12,27
CUST0000120453,UM,YA,168.67,70
CUST0000120536,UM,OT,705.94,58
CUST0000120799,MM,OF,254.0,5
CUST0000120837,LA,,363.49,47
CUST0000120903,XX,OT,7.98,1
CUST0000121178,MM,,1021.93,77
CUST0000121259,UM,PE,891.57,113
CUST0000121266,XX,OT,17.03,1
CUST0000121492,MM,YF,97.22,18
CUST0000121684,XX,YF,3.44,2
CUST0000121998,MM,PE,97.19,11
CUST0000122093,UM,PE,172.35,13
CUST0000122174,XX,YA,2.96,1
CUST0000122425,LA,OA,94.14,18
CUST0000122993,MM,YA,53.0,4
CUST0000123142,LA,OT,23.32,1
CUST0000124113,LA,OT,341.53,107
CUST0000124431,MM,,1221.88,199
CUST0000124448,XX,OT,1.05,1
CUST0000124935,XX,OA,2.8,2
CUST0000124963,LA,OA,1466.22,105
CUST0000125006,UM,OT,60.48,21
CUST0000125091,UM,YF,2159.17,66
CUST0000125124,UM,YF,1756.84,241
CUST0000125421,MM,PE,2858.95,285
CUST0000125490,XX,OT,6.61,1
CUST0000125548,MM,OT,31.22,2
CUST0000126117,MM,OT,107.44,2
CUST0000126202,MM,OT,120.74,19
CUST0000126343,MM,OT,100.81,1
CUST0000126351,LA,OT,246.81,9
CUST0000126668,LA,YF,185.11,53
CUST0000126750,MM,OT,895.77,73
CUST0000127124,UM,PE,1737.51,95
CUST0000127477,MM,,2591.89,164
CUST0000127498,LA,OA,3623.01,270
CUST0000127560,XX,OT,3.42,3
CUST0000128103,LA,YF,596.31,93
CUST0000128185,UM,OA,204.75,22
CUST0000128804,XX,OT,10.28,2
CUST0000128862,LA,OT,21.04,3
CUST0000128997,UM,YA,297.81,36
CUST0000129034,MM,YA,30.1,3
CUST0000129368,UM,OT,329.03,18
CUST0000129484,LA,YF,128.35,4
CUST0000129677,UM,OT,2039.77,84
CUST0000129804,XX,OT,2.7,1
CUST0000130407,XX,PE,14.3,6
CUST0000130446,UM,OT,46.1,1
CUST0000130658,UM,OA,1086.71,111
CUST0000130703,UM,OT,275.51,10
CUST0000130724,UM,OT,314.23,22
CUST0000131091,MM,YF,487.63,27
CUST0000131200,UM,OA,987.99,153
CUST0000131452,XX,OA,13.95,8
CUST0000131491,UM,YA,752.07,164
CUST0000131508,XX,OT,7.15,1
CUST0000131635,MM,,2076.35,146
CUST0000131867,UM,OA,252.14,68
CUST0000132151,UM,PE,4661.57,245
CUST0000132213,UM,PE,1050.82,89
CUST0000132235,LA,YF,7239.64,657
CUST0000132577,UM,YF,1813.1,35
CUST0000132826,LA,PE,1842.98,121
CUST0000132844,MM,OT,119.1,25
CUST0000133247,UM,OT,158.81,22
CUST0000133579,UM,OF,975.13,85
CUST0000133938,UM,OT,1352.57,105
CUST0000134243,UM,OT,164.76,14
CUST0000134361,MM,,135.08,36
CUST0000134680,UM,OT,37.51,1
CUST0000134957,MM,OT,2288.5,171
CUST0000135178,MM,OT,16.62,1
CUST0000135244,LA,OT,19.01,4
CUST0000135514,MM,YA,352.61,32
CUST0000136982,UM,PE,154.14,7
CUST0000137504,LA,PE,1893.12,87
CUST0000137569,UM,YA,1141.47,101
CUST0000137649,LA,,559.59,50
CUST0000137876,LA,YF,87.22,8
CUST0000138040,MM,OT,57.27,20
CUST0000138450,UM,OT,318.4,47
CUST0000138580,UM,OA,605.03,48
CUST0000138774,MM,YF,3671.9,228
CUST0000138854,LA,YF,6640.58,279
CUST0000139227,UM,PE,30.59,12
CUST0000139484,MM,OF,3080.42,165
CUST0000140306,MM,YF,3137.31,152
CUST0000140438,UM,YA,1165.74,106
CUST0000140700,UM,OT,449.59,52
CUST0000140947,UM,OA,390.73,16
